2025-04-11 02:13:07 |    DEBUG | conftest.py:38 | 正在执行登录模块
2025-04-11 02:13:07 |    DEBUG | conftest.py:39 | 前置条件：无
2025-04-11 02:13:07 |    DEBUG | case_handler.py:33 | 正在执行前置操作
2025-04-11 02:13:07 |    DEBUG | case_handler.py:35 | 前置操作执行完毕
2025-04-11 02:13:07 |    DEBUG | test_run.py:9 | 正在执行测试步骤
2025-04-11 02:13:07 |    DEBUG | case_handler.py:6 | 进入登录页面
2025-04-11 02:13:07 |    DEBUG | case_handler.py:6 | 输入用户名
2025-04-11 02:13:07 |    DEBUG | case_handler.py:6 | 输入密码
2025-04-11 02:13:07 |    DEBUG | case_handler.py:6 | 输入验证码
2025-04-11 02:13:07 |    DEBUG | case_handler.py:6 | 点击登录
2025-04-11 02:13:07 |    DEBUG | test_run.py:11 | 测试步骤执行完毕
2025-04-11 02:13:08 |    DEBUG | case_handler.py:39 | 正在执行后置操作
2025-04-11 02:13:08 |    DEBUG | case_handler.py:6 | 退出登录
2025-04-11 02:13:08 |    DEBUG | case_handler.py:41 | 正在执行后置操作
2025-04-11 02:13:08 |    DEBUG | conftest.py:38 | 正在执行登录模块
2025-04-11 02:13:08 |    DEBUG | conftest.py:39 | 前置条件：无
2025-04-11 02:13:08 |    DEBUG | case_handler.py:33 | 正在执行前置操作
2025-04-11 02:13:08 |    DEBUG | case_handler.py:35 | 前置操作执行完毕
2025-04-11 02:13:08 |    DEBUG | test_run.py:9 | 正在执行测试步骤
2025-04-11 02:13:08 |    DEBUG | case_handler.py:6 | 进入登录页面
2025-04-11 02:13:08 |    DEBUG | case_handler.py:6 | 输入用户名
2025-04-11 02:13:08 |    DEBUG | case_handler.py:6 | 输入密码
2025-04-11 02:13:08 |    DEBUG | case_handler.py:6 | 输入验证码
2025-04-11 02:13:08 |    DEBUG | case_handler.py:6 | 点击登录
2025-04-11 02:13:08 |    DEBUG | test_run.py:11 | 测试步骤执行完毕
2025-04-11 02:13:08 |    DEBUG | case_handler.py:39 | 正在执行后置操作
2025-04-11 02:13:08 |    DEBUG | case_handler.py:6 | 退出登录
2025-04-11 02:13:09 |    DEBUG | case_handler.py:41 | 正在执行后置操作
